month,projection,0
1,0,3.1036088
1,1,3.55127
1,2,3.3434932
1,3,3.2337422
1,4,3.9562461
1,5,3.6495395
1,6,3.6661563
1,7,3.8959563
1,8,3.5651026
1,9,4.1591883
1,10,3.6440167
1,11,3.6623023
1,12,3.862897
1,13,3.7304742
1,14,3.742522
1,15,4.075678
1,16,3.7847793
1,17,3.004058
1,18,3.4636674
1,19,3.312856
1,20,3.5312438
1,21,3.616433
1,22,3.702691
1,23,3.6184585
1,24,3.8053007
1,25,3.9105744
1,26,4.1275187
1,27,4.1643147
1,28,3.7095697
1,29,4.0174294
1,30,3.1833227
1,31,4.208763
2,0,2.8123114
2,1,3.1942925
2,2,3.0879433
2,3,3.0303695
2,4,3.8033638
2,5,3.4082255
2,6,3.35367
2,7,3.593307
2,8,3.4026988
2,9,3.827118
2,10,3.2768908
2,11,3.4775367
2,12,3.5876257
2,13,3.4634564
2,14,3.4416993
2,15,3.762601
2,16,3.3993583
2,17,2.7831511
2,18,3.1131566
2,19,3.0904295
2,20,3.1570778
2,21,3.2996154
2,22,3.4320219
2,23,3.315629
2,24,3.6642766
2,25,3.587205
2,26,3.6601882
2,27,3.8146577
2,28,3.336364
2,29,3.673764
2,30,2.9614553
2,31,3.8710892
3,0,4.050504
3,1,4.133584
3,2,4.1676345
3,3,4.8812256
3,4,6.767118
3,5,4.62222
3,6,4.691003
3,7,5.416653
3,8,4.789313
3,9,5.3018584
3,10,4.3259206
3,11,4.8508267
3,12,6.00372
3,13,5.972336
3,14,5.063218
3,15,5.168597
3,16,4.671329
3,17,3.659076
3,18,4.001294
3,19,4.03568
3,20,4.2893806
3,21,5.348783
3,22,5.2291107
3,23,5.8842034
3,24,6.4315543
3,25,6.438205
3,26,5.0146823
3,27,5.082467
3,28,5.2726765
3,29,5.110461
3,30,4.4335737
3,31,6.0751147
4,0,9.159026
4,1,7.976679
4,2,7.563463
4,3,8.243445
4,4,14.078069
4,5,8.585794
4,6,8.779324
4,7,9.420703
4,8,8.061927
4,9,9.54515
4,10,8.770438
4,11,8.9284
4,12,11.769567
4,13,11.174668
4,14,9.693562
4,15,9.044291
4,16,9.401492
4,17,8.452126
4,18,8.003564
4,19,8.637141
4,20,6.526725
4,21,7.9907804
4,22,8.831237
4,23,11.173231
4,24,11.948098
4,25,13.55767
4,26,9.302841
4,27,10.334819
4,28,8.794015
4,29,9.668723
4,30,8.800399
4,31,11.67796
5,0,17.009422
5,1,18.928366
5,2,16.29886
5,3,17.19689
5,4,26.904324
5,5,21.497704
5,6,19.953035
5,7,19.096777
5,8,15.927613
5,9,18.303408
5,10,17.832434
5,11,22.645315
5,12,24.459469
5,13,27.622358
5,14,20.507454
5,15,22.064047
5,16,18.227863
5,17,17.015581
5,18,18.900133
5,19,16.958174
5,20,17.64209
5,21,18.003906
5,22,19.383091
5,23,29.985771
5,24,35.366257
5,25,25.912476
5,26,23.772284
5,27,20.938086
5,28,17.947393
5,29,21.385296
5,30,15.5716095
5,31,29.745695
6,0,18.053331
6,1,21.841074
6,2,21.446058
6,3,19.393751
6,4,24.579205
6,5,29.990156
6,6,28.042637
6,7,26.852955
6,8,18.02891
6,9,32.008377
6,10,20.178501
6,11,29.255762
6,12,28.01491
6,13,23.514357
6,14,25.226238
6,15,26.741299
6,16,23.086296
6,17,17.091444
6,18,24.616024
6,19,20.549011
6,20,28.404057
6,21,20.954535
6,22,19.732605
6,23,29.389534
6,24,36.323044
6,25,20.683025
6,26,31.398397
6,27,28.375387
6,28,26.406233
6,29,28.27193
6,30,16.121302
6,31,33.552296
7,0,8.345758
7,1,9.667344
7,2,10.483863
7,3,9.609533
7,4,10.499612
7,5,12.793369
7,6,12.445166
7,7,13.110303
7,8,9.217183
7,9,15.648243
7,10,8.63097
7,11,13.33255
7,12,10.763428
7,13,9.790065
7,14,11.150854
7,15,13.103232
7,16,11.027865
7,17,7.586175
7,18,11.545556
7,19,9.378877
7,20,16.510477
7,21,9.462538
7,22,8.8264
7,23,12.086751
7,24,13.715627
7,25,9.651596
7,26,14.837117
7,27,12.354874
7,28,13.550104
7,29,13.291693
7,30,8.847513
7,31,11.6656885
8,0,5.0852304
8,1,5.886647
8,2,5.7298822
8,3,5.481615
8,4,6.5481772
8,5,6.714335
8,6,6.7241354
8,7,7.1020856
8,8,5.7425404
8,9,7.5688186
8,10,5.4153876
8,11,7.000656
8,12,6.2262635
8,13,6.4446344
8,14,6.67787
8,15,7.3565745
8,16,6.5930586
8,17,4.7813935
8,18,6.3756924
8,19,5.6442547
8,20,7.894428
8,21,6.035141
8,22,5.8963885
8,23,6.653597
8,24,7.508161
8,25,6.7083373
8,26,7.734626
8,27,6.9046087
8,28,7.1449246
8,29,7.2468786
8,30,5.1420727
8,31,6.4021688
9,0,4.1561437
9,1,4.576236
9,2,4.3104525
9,3,4.3483605
9,4,5.145477
9,5,5.0435247
9,6,4.997482
9,7,5.3743896
9,8,4.441399
9,9,5.5497003
9,10,5.1876993
9,11,5.015367
9,12,4.948553
9,13,4.915559
9,14,5.208891
9,15,5.2705617
9,16,4.926234
9,17,3.838017
9,18,4.7882285
9,19,4.361047
9,20,5.0630918
9,21,4.645235
9,22,4.503468
9,23,4.8028817
9,24,5.300141
9,25,5.1857505
9,26,5.866447
9,27,5.642157
9,28,5.164817
9,29,5.3006086
9,30,4.190303
9,31,5.0264683
10,0,3.942707
10,1,4.472553
10,2,4.113813
10,3,4.1723795
10,4,4.7879224
10,5,4.566626
10,6,4.592017
10,7,4.8667374
10,8,4.5112104
10,9,5.36342
10,10,4.6043167
10,11,4.7704105
10,12,4.8011475
10,13,4.515921
10,14,4.7166033
10,15,5.04919
10,16,4.8042803
10,17,3.6715236
10,18,4.401605
10,19,4.206491
10,20,4.6137805
10,21,4.600276
10,22,4.6560774
10,23,4.665955
10,24,4.8433275
10,25,4.7713995
10,26,5.2107973
10,27,5.170908
10,28,4.5333285
10,29,5.087973
10,30,3.9603283
10,31,5.1353683
11,0,3.5430493
11,1,4.0207376
11,2,3.8021455
11,3,3.6985621
11,4,4.553621
11,5,4.263372
11,6,4.233792
11,7,4.4861827
11,8,4.171342
11,9,4.7234216
11,10,4.0966234
11,11,4.2035327
11,12,4.4113107
11,13,4.370361
11,14,4.268976
11,15,4.883788
11,16,4.3815646
11,17,3.3843453
11,18,3.9379175
11,19,3.7794085
11,20,4.1634493
11,21,4.12358
11,22,4.297628
11,23,4.1104827
11,24,4.24869
11,25,4.3637695
11,26,4.843312
11,27,4.900962
11,28,4.205423
11,29,4.627172
11,30,3.6874878
11,31,5.0516067
12,0,3.2489119
12,1,3.6633604
12,2,3.5755467
12,3,3.408249
12,4,4.1164474
12,5,3.826493
12,6,3.7980537
12,7,4.076785
12,8,3.713261
12,9,4.3806915
12,10,3.789834
12,11,3.8223844
12,12,3.9876564
12,13,3.8389108
12,14,3.9004948
12,15,4.3189588
12,16,3.9983907
12,17,3.0620644
12,18,3.6217482
12,19,3.4331584
12,20,3.7139442
12,21,3.7266285
12,22,3.8815432
12,23,3.7654388
12,24,3.9610906
12,25,4.027562
12,26,4.2557898
12,27,4.407298
12,28,3.857836
12,29,4.142662
12,30,3.3404248
12,31,4.3597217
